latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight
24.66009,74.63358,295.5,0.41,0.37,2017-12-01,2034,N,VIIRS,n,1,284.6,1,
22.36711,87.02107,297.8,0.43,0.62,2017-12-01,2034,N,VIIRS,n,1,286.7,1.3,
23.98971,79.39206,298.4,0.44,0.38,2017-12-01,2034,N,VIIRS,n,1,288.1,0.8,
24.24307,78.16454,328.5,0.4,0.37,2017-12-01,2034,N,VIIRS,n,1,285.1,2.5,
22.79885,86.09119,318.3,0.37,0.58,2017-12-01,2034,N,VIIRS,n,1,288.1,1.8,
22.78417,86.20824,303.1,0.37,0.58,2017-12-01,2034,N,VIIRS,n,1,287.6,1.5,
22.78653,86.19754,307.5,0.37,0.58,2017-12-01,2034,N,VIIRS,n,1,287,1.5,
22.78497,86.20464,326.7,0.37,0.58,2017-12-01,2034,N,VIIRS,n,1,289.8,2.1,
22.78943,86.20972,303.2,0.37,0.58,2017-12-01,2034,N,VIIRS,n,1,290.6,1.5,
22.79023,86.20611,307.4,0.37,0.58,2017-12-01,2034,N,VIIRS,n,1,290.4,2.1,
22.79102,86.2025,309,0.37,0.58,2017-12-01,2034,N,VIIRS,n,1,290,2.1,
22.79259,86.19535,310.8,0.37,0.58,2017-12-01,2034,N,VIIRS,n,1,289.7,1.5,
22.79181,86.19892,320.3,0.37,0.58,2017-12-01,2034,N,VIIRS,n,1,292.3,1.5,
22.79548,86.20763,301.2,0.37,0.58,2017-12-01,2034,N,VIIRS,n,1,288.4,1.3,
25.83703,66.63015,299.8,0.38,0.59,2017-12-01,2034,N,VIIRS,n,1,287.4,0.6,
24.71542,75.95234,305,0.39,0.36,2017-12-01,2034,N,VIIRS,n,1,282.3,1,
22.79491,86.19664,305.9,0.37,0.58,2017-12-01,2034,N,VIIRS,n,1,290.1,2.2,
25.83744,66.62984,300.3,0.38,0.59,2017-12-01,2034,N,VIIRS,n,1,287.6,0.3,
22.85929,86.05914,296.9,0.36,0.58,2017-12-01,2034,N,VIIRS,n,1,286.3,0.6,
22.87495,86.06329,306.2,0.36,0.58,2017-12-01,2034,N,VIIRS,n,1,286.8,0.9,
24.05345,80.61367,308,0.5,0.41,2017-12-01,2034,N,VIIRS,n,1,288.5,1.4,
24.16608,80.69613,298,0.5,0.41,2017-12-01,2034,N,VIIRS,n,1,283.9,1.1,
24.20093,80.8007,299.5,0.51,0.41,2017-12-01,2034,N,VIIRS,n,1,286.9,0.9,
26.0934,68.87704,332.8,0.56,0.51,2017-12-01,2034,N,VIIRS,n,1,287.6,2.9,
24.1266,82.61506,305.5,0.42,0.45,2017-12-01,2034,N,VIIRS,n,1,286.3,1,
24.14483,82.56706,301.4,0.42,0.45,2017-12-01,2034,N,VIIRS,n,1,284.7,0.9,
24.14566,82.56287,310.8,0.42,0.45,2017-12-01,2034,N,VIIRS,n,1,285.8,1.2,
24.14976,82.56396,305.4,0.42,0.45,2017-12-01,2034,N,VIIRS,n,1,286.4,1.2,
24.16116,82.54996,303.9,0.42,0.45,2017-12-01,2034,N,VIIRS,n,1,285.2,0.7,
24.16784,82.55974,319.8,0.42,0.45,2017-12-01,2034,N,VIIRS,n,1,287.9,3.1,
24.17117,82.56471,296.6,0.42,0.45,2017-12-01,2034,N,VIIRS,n,1,286.4,0.8,
23.67566,84.99484,300.5,0.6,0.53,2017-12-01,2034,N,VIIRS,n,1,284.4,1.9,
24.1827,82.57182,307.8,0.42,0.45,2017-12-01,2034,N,VIIRS,n,1,286.3,2,
24.20461,82.52597,298.7,0.42,0.45,2017-12-01,2034,N,VIIRS,n,1,283.6,1.1,
23.72871,85.00817,295.9,0.6,0.53,2017-12-01,2034,N,VIIRS,n,1,283.6,1.7,
25.98631,71.38761,295.1,0.39,0.44,2017-12-01,2034,N,VIIRS,n,1,282.9,0.3,
24.20185,82.71797,296.1,0.43,0.46,2017-12-01,2034,N,VIIRS,n,1,283.7,0.8,
23.72586,85.00786,296.4,0.6,0.53,2017-12-01,2034,N,VIIRS,n,1,282.8,1.6,
24.20444,82.72674,306.2,0.43,0.46,2017-12-01,2034,N,VIIRS,n,1,287.2,1.2,
24.20523,82.7228,315.7,0.43,0.46,2017-12-01,2034,N,VIIRS,n,1,288.7,2,
